"";"Survived";"Pclass";"Sex";"Age";"Family";"Embarked";"rango_edad"
"66";"1";"3";"male";29,6991176470588;"Yes";"C";"20-29"
"67";"1";"2";"female";29;"No";"S";"20-29"
"68";"0";"3";"male";19;"No";"S";"10-19"
"69";"1";"3";"female";17;"Yes";"S";"10-19"
"70";"0";"3";"male";26;"Yes";"S";"20-29"
"71";"0";"2";"male";32;"No";"S";"30-39"
"72";"0";"3";"female";16;"Yes";"S";"10-19"
"73";"0";"2";"male";21;"No";"S";"20-29"
"74";"0";"3";"male";26;"Yes";"C";"20-29"
"75";"1";"3";"male";32;"No";"S";"30-39"
"76";"0";"3";"male";25;"No";"S";"20-29"
"77";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"78";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"79";"1";"2";"male";0,83;"Yes";"S";"0-9"
"80";"1";"3";"female";30;"No";"S";"20-29"
"81";"0";"3";"male";22;"No";"S";"20-29"
"82";"1";"3";"male";29;"No";"S";"20-29"
"83";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"84";"0";"1";"male";28;"No";"S";"20-29"
"85";"1";"2";"female";17;"No";"S";"10-19"
"86";"1";"3";"female";33;"Yes";"S";"30-39"
"87";"0";"3";"male";16;"Yes";"S";"10-19"
"88";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"89";"1";"1";"female";23;"Yes";"S";"20-29"
"90";"0";"3";"male";24;"No";"S";"20-29"
"91";"0";"3";"male";29;"No";"S";"20-29"
"92";"0";"3";"male";20;"No";"S";"10-19"
"93";"0";"1";"male";46;"Yes";"S";"40-49"
"94";"0";"3";"male";26;"Yes";"S";"20-29"
"95";"0";"3";"male";59;"No";"S";"50-59"
"96";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"97";"0";"1";"male";71;"No";"C";"70-79"
"98";"1";"1";"male";23;"Yes";"C";"20-29"
"99";"1";"2";"female";34;"Yes";"S";"30-39"
"100";"0";"2";"male";34;"Yes";"S";"30-39"
"101";"0";"3";"female";28;"No";"S";"20-29"
"102";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"103";"0";"1";"male";21;"Yes";"S";"20-29"
"104";"0";"3";"male";33;"No";"S";"30-39"
"105";"0";"3";"male";37;"Yes";"S";"30-39"
"106";"0";"3";"male";28;"No";"S";"20-29"
"107";"1";"3";"female";21;"No";"S";"20-29"
"108";"1";"3";"male";29,6991176470588;"No";"S";"20-29"
"109";"0";"3";"male";38;"No";"S";"30-39"
"110";"1";"3";"female";29,6991176470588;"Yes";"Q";"20-29"
"111";"0";"1";"male";47;"No";"S";"40-49"
"112";"0";"3";"female";14,5;"Yes";"C";"10-19"
"113";"0";"3";"male";22;"No";"S";"20-29"
"114";"0";"3";"female";20;"Yes";"S";"10-19"
"115";"0";"3";"female";17;"No";"C";"10-19"
"116";"0";"3";"male";21;"No";"S";"20-29"
"117";"0";"3";"male";70,5;"No";"Q";"70-79"
"118";"0";"2";"male";29;"Yes";"S";"20-29"
"119";"0";"1";"male";24;"Yes";"C";"20-29"
"120";"0";"3";"female";2;"Yes";"S";"0-9"
"121";"0";"2";"male";21;"Yes";"S";"20-29"
"122";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"123";"0";"2";"male";32,5;"Yes";"C";"30-39"
"124";"1";"2";"female";32,5;"No";"S";"30-39"
"125";"0";"1";"male";54;"Yes";"S";"50-59"
"126";"1";"3";"male";12;"Yes";"C";"10-19"
"127";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"128";"1";"3";"male";24;"No";"S";"20-29"
"129";"1";"3";"female";29,6991176470588;"Yes";"C";"20-29"
"130";"0";"3";"male";45;"No";"S";"40-49"
"131";"0";"3";"male";33;"No";"C";"30-39"
"132";"0";"3";"male";20;"No";"S";"10-19"
"133";"0";"3";"female";47;"Yes";"S";"40-49"
"134";"1";"2";"female";29;"Yes";"S";"20-29"
"135";"0";"2";"male";25;"No";"S";"20-29"
"136";"0";"2";"male";23;"No";"C";"20-29"
"137";"1";"1";"female";19;"Yes";"S";"10-19"
"138";"0";"1";"male";37;"Yes";"S";"30-39"
"139";"0";"3";"male";16;"No";"S";"10-19"
"140";"0";"1";"male";24;"No";"C";"20-29"
"141";"0";"3";"female";29,6991176470588;"Yes";"C";"20-29"
"142";"1";"3";"female";22;"No";"S";"20-29"
"143";"1";"3";"female";24;"Yes";"S";"20-29"
"144";"0";"3";"male";19;"No";"Q";"10-19"
"145";"0";"2";"male";18;"No";"S";"10-19"
"146";"0";"2";"male";19;"Yes";"S";"10-19"
"147";"1";"3";"male";27;"No";"S";"20-29"
"148";"0";"3";"female";9;"Yes";"S";"0-9"
"149";"0";"2";"male";36,5;"Yes";"S";"30-39"
"150";"0";"2";"male";42;"No";"S";"40-49"
"151";"0";"2";"male";51;"No";"S";"50-59"
"152";"1";"1";"female";22;"Yes";"S";"20-29"
"153";"0";"3";"male";55,5;"No";"S";"50-59"
"154";"0";"3";"male";40,5;"Yes";"S";"40-49"
"155";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"156";"0";"1";"male";51;"Yes";"C";"50-59"
"157";"1";"3";"female";16;"No";"Q";"10-19"
"158";"0";"3";"male";30;"No";"S";"20-29"
"159";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"160";"0";"3";"male";29,6991176470588;"Yes";"S";"20-29"
"161";"0";"3";"male";44;"Yes";"S";"40-49"
"162";"1";"2";"female";40;"No";"S";"30-39"
"163";"0";"3";"male";26;"No";"S";"20-29"
"164";"0";"3";"male";17;"No";"S";"10-19"
"165";"0";"3";"male";1;"Yes";"S";"0-9"
"166";"1";"3";"male";9;"Yes";"S";"0-9"
"167";"1";"1";"female";29,6991176470588;"Yes";"S";"20-29"
"168";"0";"3";"female";45;"Yes";"S";"40-49"
"169";"0";"1";"male";29,6991176470588;"No";"S";"20-29"
"170";"0";"3";"male";28;"No";"S";"20-29"
"171";"0";"1";"male";61;"No";"S";"60-69"
"172";"0";"3";"male";4;"Yes";"Q";"0-9"
"173";"1";"3";"female";1;"Yes";"S";"0-9"
"174";"0";"3";"male";21;"No";"S";"20-29"
"175";"0";"1";"male";56;"No";"C";"50-59"
"176";"0";"3";"male";18;"Yes";"S";"10-19"
"177";"0";"3";"male";29,6991176470588;"Yes";"S";"20-29"
"178";"0";"1";"female";50;"No";"C";"40-49"
"179";"0";"2";"male";30;"No";"S";"20-29"
"180";"0";"3";"male";36;"No";"S";"30-39"
"181";"0";"3";"female";29,6991176470588;"Yes";"S";"20-29"
"182";"0";"2";"male";29,6991176470588;"No";"C";"20-29"
"183";"0";"3";"male";9;"Yes";"S";"0-9"
"184";"1";"2";"male";1;"Yes";"S";"0-9"
"185";"1";"3";"female";4;"Yes";"S";"0-9"
"186";"0";"1";"male";29,6991176470588;"No";"S";"20-29"
"187";"1";"3";"female";29,6991176470588;"Yes";"Q";"20-29"
"188";"1";"1";"male";45;"No";"S";"40-49"
"189";"0";"3";"male";40;"Yes";"Q";"30-39"
"190";"0";"3";"male";36;"No";"S";"30-39"
"191";"1";"2";"female";32;"No";"S";"30-39"
"192";"0";"2";"male";19;"No";"S";"10-19"
"193";"1";"3";"female";19;"Yes";"S";"10-19"
"194";"1";"2";"male";3;"Yes";"S";"0-9"
"195";"1";"1";"female";44;"No";"C";"40-49"
"196";"1";"1";"female";58;"No";"C";"50-59"
"197";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"198";"0";"3";"male";42;"Yes";"S";"40-49"
"199";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"200";"0";"2";"female";24;"No";"S";"20-29"
"201";"0";"3";"male";28;"No";"S";"20-29"
"202";"0";"3";"male";29,6991176470588;"Yes";"S";"20-29"
"203";"0";"3";"male";34;"No";"S";"30-39"
"204";"0";"3";"male";45,5;"No";"C";"40-49"
"205";"1";"3";"male";18;"No";"S";"10-19"
"206";"0";"3";"female";2;"Yes";"S";"0-9"
"207";"0";"3";"male";32;"Yes";"S";"30-39"
"208";"1";"3";"male";26;"No";"C";"20-29"
"209";"1";"3";"female";16;"No";"Q";"10-19"
"210";"1";"1";"male";40;"No";"C";"30-39"
"211";"0";"3";"male";24;"No";"S";"20-29"
"212";"1";"2";"female";35;"No";"S";"30-39"
"213";"0";"3";"male";22;"No";"S";"20-29"
"214";"0";"2";"male";30;"No";"S";"20-29"
"215";"0";"3";"male";29,6991176470588;"Yes";"Q";"20-29"
"216";"1";"1";"female";31;"Yes";"C";"30-39"
"217";"1";"3";"female";27;"No";"S";"20-29"
"218";"0";"2";"male";42;"Yes";"S";"40-49"
"219";"1";"1";"female";32;"No";"C";"30-39"
"220";"0";"2";"male";30;"No";"S";"20-29"
"221";"1";"3";"male";16;"No";"S";"10-19"
"222";"0";"2";"male";27;"No";"S";"20-29"
"223";"0";"3";"male";51;"No";"S";"50-59"
"224";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"225";"1";"1";"male";38;"Yes";"S";"30-39"
"226";"0";"3";"male";22;"No";"S";"20-29"
"227";"1";"2";"male";19;"No";"S";"10-19"
"228";"0";"3";"male";20,5;"No";"S";"20-29"
"229";"0";"2";"male";18;"No";"S";"10-19"
"230";"0";"3";"female";29,6991176470588;"Yes";"S";"20-29"
"231";"1";"1";"female";35;"Yes";"S";"30-39"
"232";"0";"3";"male";29;"No";"S";"20-29"
"233";"0";"2";"male";59;"No";"S";"50-59"
"234";"1";"3";"female";5;"Yes";"S";"0-9"
"235";"0";"2";"male";24;"No";"S";"20-29"
"236";"0";"3";"female";29,6991176470588;"No";"S";"20-29"
"237";"0";"2";"male";44;"Yes";"S";"40-49"
"238";"1";"2";"female";8;"Yes";"S";"0-9"
"239";"0";"2";"male";19;"No";"S";"10-19"
"240";"0";"2";"male";33;"No";"S";"30-39"
"241";"0";"3";"female";29,6991176470588;"Yes";"C";"20-29"
"242";"1";"3";"female";29,6991176470588;"Yes";"Q";"20-29"
"243";"0";"2";"male";29;"No";"S";"20-29"
"244";"0";"3";"male";22;"No";"S";"20-29"
"245";"0";"3";"male";30;"No";"C";"20-29"
"246";"0";"1";"male";44;"Yes";"Q";"40-49"
"247";"0";"3";"female";25;"No";"S";"20-29"
"248";"1";"2";"female";24;"Yes";"S";"20-29"
"249";"1";"1";"male";37;"Yes";"S";"30-39"
"250";"0";"2";"male";54;"Yes";"S";"50-59"
"251";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"252";"0";"3";"female";29;"Yes";"S";"20-29"
"253";"0";"1";"male";62;"No";"S";"60-69"
"254";"0";"3";"male";30;"Yes";"S";"20-29"
"255";"0";"3";"female";41;"Yes";"S";"40-49"
"256";"1";"3";"female";29;"Yes";"C";"20-29"
"257";"1";"1";"female";29,6991176470588;"No";"C";"20-29"
"258";"1";"1";"female";30;"No";"S";"20-29"
"259";"1";"1";"female";35;"No";"C";"30-39"
"260";"1";"2";"female";50;"Yes";"S";"40-49"
"261";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"262";"1";"3";"male";3;"Yes";"S";"0-9"
"263";"0";"1";"male";52;"Yes";"S";"50-59"
"264";"0";"1";"male";40;"No";"S";"30-39"
"265";"0";"3";"female";29,6991176470588;"No";"Q";"20-29"
"266";"0";"2";"male";36;"No";"S";"30-39"
"267";"0";"3";"male";16;"Yes";"S";"10-19"
"268";"1";"3";"male";25;"Yes";"S";"20-29"
"269";"1";"1";"female";58;"Yes";"S";"50-59"
"270";"1";"1";"female";35;"No";"S";"30-39"
"271";"0";"1";"male";29,6991176470588;"No";"S";"20-29"
"272";"1";"3";"male";25;"No";"S";"20-29"
"273";"1";"2";"female";41;"Yes";"S";"40-49"
"274";"0";"1";"male";37;"Yes";"C";"30-39"
"275";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"276";"1";"1";"female";63;"Yes";"S";"60-69"
"277";"0";"3";"female";45;"No";"S";"40-49"
"278";"0";"2";"male";29,6991176470588;"No";"S";"20-29"
"279";"0";"3";"male";7;"Yes";"Q";"0-9"
"280";"1";"3";"female";35;"Yes";"S";"30-39"
"281";"0";"3";"male";65;"No";"Q";"60-69"
"282";"0";"3";"male";28;"No";"S";"20-29"
"283";"0";"3";"male";16;"No";"S";"10-19"
"284";"1";"3";"male";19;"No";"S";"10-19"
"285";"0";"1";"male";29,6991176470588;"No";"S";"20-29"
"286";"0";"3";"male";33;"No";"C";"30-39"
"287";"1";"3";"male";30;"No";"S";"20-29"
"288";"0";"3";"male";22;"No";"S";"20-29"
"289";"1";"2";"male";42;"No";"S";"40-49"
"290";"1";"3";"female";22;"No";"Q";"20-29"
"291";"1";"1";"female";26;"No";"S";"20-29"
"292";"1";"1";"female";19;"Yes";"C";"10-19"
"293";"0";"2";"male";36;"No";"C";"30-39"
"294";"0";"3";"female";24;"No";"S";"20-29"
"295";"0";"3";"male";24;"No";"S";"20-29"
"296";"0";"1";"male";29,6991176470588;"No";"C";"20-29"
"297";"0";"3";"male";23,5;"No";"C";"20-29"
"298";"0";"1";"female";2;"Yes";"S";"0-9"
"299";"1";"1";"male";29,6991176470588;"No";"S";"20-29"
"300";"1";"1";"female";50;"Yes";"C";"40-49"
"301";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"302";"1";"3";"male";29,6991176470588;"Yes";"Q";"20-29"
"303";"0";"3";"male";19;"No";"S";"10-19"
"304";"1";"2";"female";29,6991176470588;"No";"Q";"20-29"
"305";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"306";"1";"1";"male";0,92;"Yes";"S";"0-9"
"307";"1";"1";"female";29,6991176470588;"No";"C";"20-29"
"308";"1";"1";"female";17;"Yes";"C";"10-19"
"309";"0";"2";"male";30;"Yes";"C";"20-29"
"310";"1";"1";"female";30;"No";"C";"20-29"
"311";"1";"1";"female";24;"No";"C";"20-29"
"312";"1";"1";"female";18;"Yes";"C";"10-19"
"313";"0";"2";"female";26;"Yes";"S";"20-29"
"314";"0";"3";"male";28;"No";"S";"20-29"
"315";"0";"2";"male";43;"Yes";"S";"40-49"
"316";"1";"3";"female";26;"No";"S";"20-29"
"317";"1";"2";"female";24;"Yes";"S";"20-29"
"318";"0";"2";"male";54;"No";"S";"50-59"
"319";"1";"1";"female";31;"Yes";"S";"30-39"
"320";"1";"1";"female";40;"Yes";"C";"30-39"
"321";"0";"3";"male";22;"No";"S";"20-29"
"322";"0";"3";"male";27;"No";"S";"20-29"
"323";"1";"2";"female";30;"No";"Q";"20-29"
"324";"1";"2";"female";22;"Yes";"S";"20-29"
"325";"0";"3";"male";29,6991176470588;"Yes";"S";"20-29"
"326";"1";"1";"female";36;"No";"C";"30-39"
"327";"0";"3";"male";61;"No";"S";"60-69"
"328";"1";"2";"female";36;"No";"S";"30-39"
"329";"1";"3";"female";31;"Yes";"S";"30-39"
"330";"1";"1";"female";16;"Yes";"C";"10-19"
"331";"1";"3";"female";29,6991176470588;"Yes";"Q";"20-29"
"332";"0";"1";"male";45,5;"No";"S";"40-49"
"333";"0";"1";"male";38;"Yes";"S";"30-39"
"334";"0";"3";"male";16;"Yes";"S";"10-19"
"335";"1";"1";"female";29,6991176470588;"Yes";"S";"20-29"
"336";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"337";"0";"1";"male";29;"Yes";"S";"20-29"
"338";"1";"1";"female";41;"No";"C";"40-49"
"339";"1";"3";"male";45;"No";"S";"40-49"
"340";"0";"1";"male";45;"No";"S";"40-49"
"341";"1";"2";"male";2;"Yes";"S";"0-9"
"342";"1";"1";"female";24;"Yes";"S";"20-29"
"343";"0";"2";"male";28;"No";"S";"20-29"
"344";"0";"2";"male";25;"No";"S";"20-29"
"345";"0";"2";"male";36;"No";"S";"30-39"
"346";"1";"2";"female";24;"No";"S";"20-29"
"347";"1";"2";"female";40;"No";"S";"30-39"
"348";"1";"3";"female";29,6991176470588;"Yes";"S";"20-29"
"349";"1";"3";"male";3;"Yes";"S";"0-9"
"350";"0";"3";"male";42;"No";"S";"40-49"
"351";"0";"3";"male";23;"No";"S";"20-29"
"352";"0";"1";"male";29,6991176470588;"No";"S";"20-29"
"353";"0";"3";"male";15;"Yes";"C";"10-19"
"354";"0";"3";"male";25;"Yes";"S";"20-29"
"355";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"356";"0";"3";"male";28;"No";"S";"20-29"
"357";"1";"1";"female";22;"Yes";"S";"20-29"
"358";"0";"2";"female";38;"No";"S";"30-39"
"359";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"360";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"361";"0";"3";"male";40;"Yes";"S";"30-39"
"362";"0";"2";"male";29;"Yes";"C";"20-29"
"363";"0";"3";"female";45;"Yes";"C";"40-49"
"364";"0";"3";"male";35;"No";"S";"30-39"
"365";"0";"3";"male";29,6991176470588;"Yes";"Q";"20-29"
"366";"0";"3";"male";30;"No";"S";"20-29"
"367";"1";"1";"female";60;"Yes";"C";"50-59"
"368";"1";"3";"female";29,6991176470588;"No";"C";"20-29"
"369";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"370";"1";"1";"female";24;"No";"C";"20-29"
"371";"1";"1";"male";25;"Yes";"C";"20-29"
"372";"0";"3";"male";18;"Yes";"S";"10-19"
"373";"0";"3";"male";19;"No";"S";"10-19"
"374";"0";"1";"male";22;"No";"C";"20-29"
"375";"0";"3";"female";3;"Yes";"S";"0-9"
"376";"1";"1";"female";29,6991176470588;"Yes";"C";"20-29"
"377";"1";"3";"female";22;"No";"S";"20-29"
"378";"0";"1";"male";27;"Yes";"C";"20-29"
"379";"0";"3";"male";20;"No";"C";"10-19"
"380";"0";"3";"male";19;"No";"S";"10-19"
"381";"1";"1";"female";42;"No";"C";"40-49"
"382";"1";"3";"female";1;"Yes";"C";"0-9"
"383";"0";"3";"male";32;"No";"S";"30-39"
"384";"1";"1";"female";35;"Yes";"S";"30-39"
"385";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"386";"0";"2";"male";18;"No";"S";"10-19"
"387";"0";"3";"male";1;"Yes";"S";"0-9"
"388";"1";"2";"female";36;"No";"S";"30-39"
"389";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"390";"1";"2";"female";17;"No";"C";"10-19"
"391";"1";"1";"male";36;"Yes";"S";"30-39"
"392";"1";"3";"male";21;"No";"S";"20-29"
"393";"0";"3";"male";28;"Yes";"S";"20-29"
"394";"1";"1";"female";23;"Yes";"C";"20-29"
"395";"1";"3";"female";24;"Yes";"S";"20-29"
"396";"0";"3";"male";22;"No";"S";"20-29"
"397";"0";"3";"female";31;"No";"S";"30-39"
"398";"0";"2";"male";46;"No";"S";"40-49"
"399";"0";"2";"male";23;"No";"S";"20-29"
"400";"1";"2";"female";28;"No";"S";"20-29"
"401";"1";"3";"male";39;"No";"S";"30-39"
"402";"0";"3";"male";26;"No";"S";"20-29"
"403";"0";"3";"female";21;"Yes";"S";"20-29"
"404";"0";"3";"male";28;"Yes";"S";"20-29"
"405";"0";"3";"female";20;"No";"S";"10-19"
"406";"0";"2";"male";34;"Yes";"S";"30-39"
"407";"0";"3";"male";51;"No";"S";"50-59"
"408";"1";"2";"male";3;"Yes";"S";"0-9"
"409";"0";"3";"male";21;"No";"S";"20-29"
"410";"0";"3";"female";29,6991176470588;"Yes";"S";"20-29"
"411";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"412";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"413";"1";"1";"female";33;"Yes";"Q";"30-39"
"414";"0";"2";"male";29,6991176470588;"No";"S";"20-29"
"415";"1";"3";"male";44;"No";"S";"40-49"
"416";"0";"3";"female";29,6991176470588;"No";"S";"20-29"
"417";"1";"2";"female";34;"Yes";"S";"30-39"
"418";"1";"2";"female";18;"Yes";"S";"10-19"
"419";"0";"2";"male";30;"No";"S";"20-29"
"420";"0";"3";"female";10;"Yes";"S";"0-9"
"421";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"422";"0";"3";"male";21;"No";"Q";"20-29"
"423";"0";"3";"male";29;"No";"S";"20-29"
"424";"0";"3";"female";28;"Yes";"S";"20-29"
"425";"0";"3";"male";18;"Yes";"S";"10-19"
"426";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"427";"1";"2";"female";28;"Yes";"S";"20-29"
"428";"1";"2";"female";19;"No";"S";"10-19"
"429";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"430";"1";"3";"male";32;"No";"S";"30-39"
"431";"1";"1";"male";28;"No";"S";"20-29"
"432";"1";"3";"female";29,6991176470588;"Yes";"S";"20-29"
"433";"1";"2";"female";42;"Yes";"S";"40-49"
"434";"0";"3";"male";17;"No";"S";"10-19"
"435";"0";"1";"male";50;"Yes";"S";"40-49"
"436";"1";"1";"female";14;"Yes";"S";"10-19"
"437";"0";"3";"female";21;"Yes";"S";"20-29"
"438";"1";"2";"female";24;"Yes";"S";"20-29"
"439";"0";"1";"male";64;"Yes";"S";"60-69"
"440";"0";"2";"male";31;"No";"S";"30-39"
"441";"1";"2";"female";45;"Yes";"S";"40-49"
"442";"0";"3";"male";20;"No";"S";"10-19"
"443";"0";"3";"male";25;"Yes";"S";"20-29"
"444";"1";"2";"female";28;"No";"S";"20-29"
"445";"1";"3";"male";29,6991176470588;"No";"S";"20-29"
"446";"1";"1";"male";4;"Yes";"S";"0-9"
"447";"1";"2";"female";13;"Yes";"S";"10-19"
"448";"1";"1";"male";34;"No";"S";"30-39"
"449";"1";"3";"female";5;"Yes";"C";"0-9"
"450";"1";"1";"male";52;"No";"S";"50-59"
"451";"0";"2";"male";36;"Yes";"S";"30-39"
"452";"0";"3";"male";29,6991176470588;"Yes";"S";"20-29"
"453";"0";"1";"male";30;"No";"C";"20-29"
"454";"1";"1";"male";49;"Yes";"C";"40-49"
"455";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"456";"1";"3";"male";29;"No";"C";"20-29"
"457";"0";"1";"male";65;"No";"S";"60-69"
"458";"1";"1";"female";29,6991176470588;"Yes";"S";"20-29"
"459";"1";"2";"female";50;"No";"S";"40-49"
"460";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"461";"1";"1";"male";48;"No";"S";"40-49"
"462";"0";"3";"male";34;"No";"S";"30-39"
"463";"0";"1";"male";47;"No";"S";"40-49"
"464";"0";"2";"male";48;"No";"S";"40-49"
"465";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"466";"0";"3";"male";38;"No";"S";"30-39"
"467";"0";"2";"male";29,6991176470588;"No";"S";"20-29"
"468";"0";"1";"male";56;"No";"S";"50-59"
"469";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"470";"1";"3";"female";0,75;"Yes";"C";"0-9"
"471";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"472";"0";"3";"male";38;"No";"S";"30-39"
"473";"1";"2";"female";33;"Yes";"S";"30-39"
"474";"1";"2";"female";23;"No";"C";"20-29"
"475";"0";"3";"female";22;"No";"S";"20-29"
"476";"0";"1";"male";29,6991176470588;"No";"S";"20-29"
"477";"0";"2";"male";34;"Yes";"S";"30-39"
"478";"0";"3";"male";29;"Yes";"S";"20-29"
"479";"0";"3";"male";22;"No";"S";"20-29"
"480";"1";"3";"female";2;"Yes";"S";"0-9"
"481";"0";"3";"male";9;"Yes";"S";"0-9"
"482";"0";"2";"male";29,6991176470588;"No";"S";"20-29"
"483";"0";"3";"male";50;"No";"S";"40-49"
"484";"1";"3";"female";63;"No";"S";"60-69"
"485";"1";"1";"male";25;"Yes";"C";"20-29"
"486";"0";"3";"female";29,6991176470588;"Yes";"S";"20-29"
"487";"1";"1";"female";35;"Yes";"S";"30-39"
"488";"0";"1";"male";58;"No";"C";"50-59"
"489";"0";"3";"male";30;"No";"S";"20-29"
"490";"1";"3";"male";9;"Yes";"S";"0-9"
"491";"0";"3";"male";29,6991176470588;"Yes";"S";"20-29"
"492";"0";"3";"male";21;"No";"S";"20-29"
"493";"0";"1";"male";55;"No";"S";"50-59"
